レースID,年月日,レースNo,レース名,クラス,種別,距離,天候,状態,発走,競馬場,条件,
201508020611,2015年2月15日,11,第108回京都記念,G2,芝右 外,2200,曇,良,15:35,2回京都6日目,4歳以上オープン(国際)[指](別定),
201508030211,2015年4月26日,11,第46回読売マイラーズカップ,G2,芝右 外,1600,晴,良,15:35,3回京都2日目,4歳以上オープン(国際)(指)(別定),
201508030411,2015年5月3日,11,第151回天皇賞,春)(G1,芝右 外,3200,晴,良,15:40,3回京都4日目,4歳以上オープン(国際)(指)(定量),
201508030511,2015年5月9日,11,第63回京都新聞杯,G2,芝右 外,2200,曇,良,15:35,3回京都5日目,3歳オープン(国際)(指)(馬齢),
201508030911,2015年5月23日,11,第22回平安ステークス,G3,ダ右,1900,曇,良,15:35,3回京都9日目,4歳以上オープン(国際)(指)(別定),
201508031108,2015年5月30日,8,第17回京都ハイジャンプ,J.G2,障芝,3930,晴,良,13:50,3回京都11日目,障害4歳以上オープン(混)(別定),
201508040311,2015年10月12日,11,第50回京都大賞典,G2,芝右 外,2400,晴,良,15:35,4回京都3日目,3歳以上オープン(国際)(指)(別定),
201508040511,2015年10月18日,11,第20回秋華賞,G1,芝右,2000,晴,良,15:40,4回京都5日目,3歳オープン(国際),
201508040711,2015年10月25日,11,第76回菊花賞,G1,芝右 外,3000,晴,良,15:40,4回京都7日目,3歳オープン(国際),
201508040811,2015年10月31日,11,第58回毎日放送賞スワンS,G2,芝右 外,1400,晴,良,15:35,4回京都8日目,3歳以上オープン(国際)(指)(別定),
201508050111,2015年11月7日,11,第20回KBSファンタジーS,G3,芝右 外,1400,曇,良,15:45,5回京都1日目,2歳オープン(国際),
201508050211,2015年11月8日,11,第6回みやこステークス,G3,ダ右,1800,小雨,不良,15:45,5回京都2日目,3歳以上オープン(国際)(指)(別定),
201508050308,2015年11月14日,8,第17回京都ジャンプS,J.G3,障芝 内-外,3170,曇,稍重,14:01,5回京都3日目,障害3歳以上オープン(混)(別定),
201508050311,2015年11月14日,11,第50回デイリー杯2歳S,G2,芝右 外,1600,雨,稍重,15:45,5回京都3日目,2歳オープン(国際)(指)(馬齢),
201508050411,2015年11月15日,11,第40回エリザベス女王杯,G1,芝右 外,2200,晴,稍重,15:40,5回京都4日目,3歳以上オープン(国際),
201508050611,2015年11月22日,11,第32回マイルチャンピオンS,G1,芝右 外,1600,曇,良,15:40,5回京都6日目,3歳以上オープン(国際)(指)(定量),
201508050811,2015年11月28日,11,第2回ラジオN杯京都2歳S,G3,芝右,2000,晴,良,15:45,5回京都8日目,2歳オープン(国際)(特指)(馬齢),
201508050912,2015年11月29日,12,第60回京阪杯,G3,芝右,1200,曇,良,16:15,5回京都9日目,3歳以上オープン(国際)(特指)(別定),
201509010111,2015年2月28日,11,第24回アーリントンカップ,G3,芝右 外,1600,晴,良,15:35,1回阪神1日目,3歳オープン(国際)(特指)(別定),
201509010211,2015年3月1日,11,第59回阪急杯,G3,芝右,1400,雨,不良,15:35,1回阪神2日目,4歳以上オープン(国際)(指)(別定),
201509010311,2015年3月7日,11,第22回チューリップ賞,G3,芝右 外,1600,雨,重,15:35,1回阪神3日目,3歳オープン(国際),
201509010508,2015年3月14日,8,第17回阪神スプリングJ,J.G2,障芝,3900,晴,稍重,13:50,1回阪神5日目,障害4歳以上オープン(混)(別定),
201509010611,2015年3月15日,11,第49回フィリーズレビュー,G2,芝右,1400,曇,良,15:35,1回阪神6日目,3歳オープン(国際),
201509010811,2015年3月22日,11,第63回阪神大賞典,G2,芝右,3000,晴,良,15:35,1回阪神8日目,4歳以上オープン(国際)(指)(別定),
201509020111,2015年3月28日,11,第62回毎日杯,G3,芝右 外,1800,晴,良,15:35,2回阪神1日目,3歳オープン(国際)(特指)(別定),
