レースID,年月日,レースNo,レース名,クラス,種別,距離,天候,状態,発走,競馬場,条件,
199901010611,1999年8月22日,11,第35回札幌記念,G2,芝右,2000,曇,良,15:35,1回札幌6日目,4歳以上オープン(混)(特指)(別定),
199901020311,1999年9月11日,11,第4回エルムステークス,G3,ダ右,1700,曇,稍重,15:35,2回札幌3日目,4歳以上オープン(混)(指)(別定),
199901020711,1999年9月25日,11,第34回札幌3歳ステークス,G3,芝右,1800,晴,重,15:50,2回札幌7日目,3歳オープン(混)(特指)(馬齢),
199902010811,1999年7月4日,11,第35回函館記念,G3,芝右,2000,曇,良,15:35,1回函館8日目,4歳以上オープン(混)(特指)(ハンデ),
199902020411,1999年7月18日,11,第6回函館スプリントS,G3,芝右,1200,晴,良,15:35,2回函館4日目,4歳以上オープン(混)(特指)(別定),
199902020811,1999年8月1日,11,第31回函館3歳ステークス,G3,芝右,1200,曇,良,15:35,2回函館8日目,3歳オープン(混)(特指)(馬齢),
199903010611,1999年7月4日,11,第48回ラジオたんぱ賞,G3,芝右,1800,晴,良,15:40,1回福島6日目,4歳オープン(混)(特指)(別定),
199903010711,1999年7月10日,11,第35回七夕賞,G3,芝右,2000,曇,良,15:40,1回福島7日目,4歳以上オープン(混)[指](ハンデ),
199903020811,1999年10月24日,11,第53回カブトヤマ記念,G3,芝右,1800,晴,良,15:25,2回福島8日目,4歳以上オープン(父)(特指)(ハンデ),
199903030811,1999年11月21日,11,第35回福島記念,G3,芝右,2000,晴,良,15:10,3回福島8日目,4歳以上オープン(混)(特指)(ハンデ),
199904010610,1999年5月16日,10,第21回新潟大賞典,G3,芝右 外,2000,曇,良,15:05,1回新潟6日目,4歳以上オープン(混)[指](ハンデ),
199904020811,1999年8月8日,11,第34回関屋記念,G3,芝右 外,1600,晴,良,15:40,2回新潟8日目,4歳以上オープン(混)(特指)(別定),
199904030510,1999年8月28日,10,第1回新潟ジャンプS,J.G3,障芝 外,3200,曇,稍重,15:05,3回新潟5日目,障害4歳以上オープン(混)(ハンデ),
199904030611,1999年8月29日,11,第35回新潟記念,G3,芝右 外,2000,曇,重,15:40,3回新潟6日目,4歳以上オープン(混)(特指)(ハンデ),
199904030811,1999年9月5日,11,第19回新潟3歳ステークス,G3,芝右,1400,晴,良,15:40,3回新潟8日目,3歳オープン(混)(特指)(馬齢),
199905010211,1999年1月31日,11,第16回フェブラリーS,G1,ダ左,1600,晴,良,15:40,1回東京2日目,4歳以上オープン(混)(指)(定量),
199905010411,1999年2月7日,11,第49回東京新聞杯,G3,芝左,1600,晴,良,15:40,1回東京4日目,4歳以上オープン(混)[指](別定),
199905010611,1999年2月14日,11,第33回共同通信杯4歳S,G3,芝左,1800,晴,良,15:40,1回東京6日目,4歳オープン(混)(特指)(別定),
199905010711,1999年2月20日,11,第49回ダイヤモンドS,G3,芝左,3200,晴,良,15:40,1回東京7日目,4歳以上オープン(混)[指](ハンデ),
199905010811,1999年2月21日,11,第34回デイリー杯クイーンC,G3,芝左,1600,晴,良,15:40,1回東京8日目,4歳オープン(混),
199905020211,1999年4月25日,11,第17回NZT4歳S,G2,芝左,1400,晴,重,15:40,2回東京2日目,4歳オープン(混),
199905020311,1999年5月1日,11,第34回サンスポ4歳牝馬特別,G2,芝左,2000,晴,良,15:40,2回東京3日目,4歳オープン牝(指)(定量),
199905020511,1999年5月8日,11,第6回テレビ東京杯青葉賞,G3,芝左,2400,晴,良,15:40,2回東京5日目,4歳オープン(指)(定量),
199905020711,1999年5月15日,11,第44回京王杯スプリングC,G2,芝左,1400,曇,良,15:40,2回東京7日目,4歳以上オープン(国際)(指)(別定),
199905020811,1999年5月16日,11,第4回NHKマイルカップ,G1,芝左,1600,曇,良,15:35,2回東京8日目,4歳オープン(混),
199905030111,1999年5月22日,11,第4回武蔵野ステークス,G3,ダ左,2100,晴,良,15:40,3回東京1日目,4歳以上オープン(混)(指)(別定),
199905030411,1999年5月30日,11,第60回優駿牝馬,G1,芝左,2400,晴,良,15:35,3回東京4日目,4歳オープン牝(指)(定量),
199905030511,1999年6月5日,11,第16回エプソムカップ,G3,芝左,1800,晴,良,15:40,3回東京5日目,4歳以上オープン(混)[指](別定),
199905030609,1999年6月6日,9,第66回東京優駿,G1,芝左,2400,晴,良,15:30,3回東京6日目,4歳オープン牡・牝(指)(定量),
199905030710,1999年6月12日,10,第1回東京ハイジャンプ,J.G2,障芝,3300,晴,良,15:05,3回東京7日目,障害4歳以上オープン(混)(別定),
199905030711,1999年6月12日,11,第113回目黒記念,G2,芝左,2500,晴,良,15:40,3回東京7日目,4歳以上オープン(混)[指](ハンデ),
199905030811,1999年6月13日,11,第49回安田記念,G1,芝左,1600,晴,良,15:35,3回東京8日目,4歳以上オープン(国際)(指)(定量),
199905040211,1999年10月10日,11,第50回毎日王冠,G2,芝左,1800,晴,良,15:40,4回東京2日目,4歳以上オープン(国際)(指)(別定),
199905040411,1999年10月17日,11,第47回府中牝馬ステークス,G3,芝左,1800,曇,良,15:40,4回東京4日目,4歳以上オープン(混),
199905040610,1999年10月24日,10,第1回東京オータムジャンプ,J.G3,障芝,3300,晴,良,14:50,4回東京6日目,障害4歳以上オープン(混)(ハンデ),
199905040811,1999年10月31日,11,第120回天皇賞,秋)(G1,芝左,2000,晴,良,15:35,4回東京8日目,4歳以上オープン牡・牝(指)(定量),
199905050111,1999年11月6日,11,第37回アルゼンチン共和国杯,G2,芝左,2500,晴,良,15:30,5回東京1日目,4歳以上オープン(混)(特指)(ハンデ),
199905050311,1999年11月13日,11,第35回京王杯3歳ステークス,G2,芝左,1400,晴,良,15:30,5回東京3日目,3歳オープン(混)(指)(馬齢),
199905050411,1999年11月14日,11,第13回東京中日S杯根岸S,G3,ダ左,1200,晴,良,15:25,5回東京4日目,4歳以上オープン(混)(指)(別定),
199905050511,1999年11月20日,11,第4回東京スポーツ杯3歳S,G3,芝左,1800,晴,良,15:30,5回東京5日目,3歳オープン(混)(指)(馬齢),
199905050711,1999年11月27日,11,第2回富士ステークス,G3,芝左,1400,晴,良,15:25,5回東京7日目,4歳以上オープン(国際)(指)(別定),
199905050810,1999年11月28日,10,第19回ジャパンカップ,G1,芝左,2400,晴,良,15:20,5回東京8日目,4歳以上オープン(国際)(指)(定量),
199906010111,1999年1月5日,11,第48回日刊スポ賞中山金杯,G3,芝右,2000,晴,良,15:25,1回中山1日目,4歳以上オープン(混)[指](ハンデ),
199906010411,1999年1月10日,11,第3回ガーネットステークス,G3,ダ右,1200,晴,良,15:35,1回中山4日目,4歳以上オープン(混)(指)(別定),
199906010611,1999年1月17日,11,第39回京成杯,G3,芝右,2000,晴,良,15:35,1回中山6日目,4歳オープン(混)(特指)(別定),
199906010811,1999年1月24日,11,第40回アメリカジョッキーC,G2,芝右 外,2200,雨,良,15:35,1回中山8日目,4歳以上オープン(混)[指](別定),
199906020211,1999年2月28日,11,第17回中山牝馬ステークス,G3,芝右,1800,晴,良,15:40,2回中山2日目,4歳以上オープン(混),
199906020411,1999年3月7日,11,第36回報知杯弥生賞,G2,芝右,2000,雨,稍重,15:40,2回中山4日目,4歳オープン(指)(馬齢),
199906020511,1999年3月13日,11,第6回マーチステークス,G3,ダ右,1800,曇,稍重,15:40,2回中山5日目,4歳以上オープン(混)(指)(ハンデ),
199906020611,1999年3月14日,11,第73回中山記念,G2,芝右,1800,曇,良,15:40,2回中山6日目,4歳以上オープン(混)[指](別定),
199906020711,1999年3月20日,11,第13回フラワーカップ,G3,芝右,1800,雨,不良,15:40,2回中山7日目,4歳オープン(混),
199906020811,1999年3月21日,11,第48回フジTVスプリングS,G2,芝右,1800,雨,不良,15:40,2回中山8日目,4歳オープン牡・牝(指)(定量),
199906030211,1999年3月28日,11,第47回日経賞,G2,芝右,2500,晴,稍重,15:40,3回中山2日目,4歳以上オープン(混)(指)(別定),
199906030411,1999年4月4日,11,第13回夕刊フジクリスタルC,G3,芝右 外,1200,曇,良,15:40,3回中山4日目,4歳オープン(混)(指)(別定),
199906030511,1999年4月10日,11,第31回ダービー卿チャレンジ,G3,芝右 外,1600,小雨,良,15:40,3回中山5日目,4歳以上オープン(混)[指](別定),
199906030610,1999年4月11日,10,第1回中山グランドジャンプ,J.G1,障芝,4100,雨,不良,14:50,3回中山6日目,障害4歳以上オープン(混)(定量),
199906030811,1999年4月18日,11,第59回皐月賞,G1,芝右,2000,雨,良,15:35,3回中山8日目,4歳オープン牡・牝(指)(定量),
199906040211,1999年9月12日,11,第44回京成杯オータムハンデ,G3,芝右 外,1600,晴,良,15:40,4回中山2日目,4歳以上オープン(混)(特指)(ハンデ),
199906040411,1999年9月19日,11,第45回産経賞オールカマー,G2,芝右 外,2200,晴,良,15:40,4回中山4日目,4歳以上オープン(国際)(指)(別定),
199906040611,1999年9月26日,11,第53回セントライト記念,G2,芝右 外,2200,晴,良,15:40,4回中山6日目,4歳オープン(指)(定量),
199906040711,1999年10月2日,11,第4回ユニコーンステークス,G3,ダ右,1800,晴,良,15:40,4回中山7日目,4歳オープン(混)(指)(定量),
199906040811,1999年10月3日,11,第47回時事通信杯クイーンS,G3,芝右,1800,曇,良,15:40,4回中山8日目,4歳オープン(混),
199906050111,1999年12月4日,11,第33回ステイヤーズS,G2,芝右 内2周,3600,曇,良,15:25,5回中山1日目,4歳以上オープン(混)(特指)(別定),
199906050411,1999年12月12日,11,第51回朝日杯3歳ステークス,G1,芝右 外,1600,曇,良,15:20,5回中山4日目,3歳オープン(混),
199906050510,1999年12月18日,10,第122回中山大障害,J.G1,障芝,4100,曇,良,14:40,5回中山5日目,障害4歳以上オープン(混)(定量),
199906050611,1999年12月19日,11,第33回スプリンターズS,G1,芝右 外,1200,晴,良,15:20,5回中山6日目,4歳以上オープン(国際)(指)(定量),
199906050711,1999年12月25日,11,第16回フェアリーステークス,G3,芝右 外,1200,晴,良,15:25,5回中山7日目,3歳オープン(混),
199906050809,1999年12月26日,9,第44回有馬記念,G1,芝右,2500,晴,良,15:20,5回中山8日目,4歳以上オープン(混)(指)(馬齢),
199907010411,1999年2月21日,11,第47回トヨタ賞中京記念,G3,芝左,2000,晴,良,15:35,1回中京4日目,4歳以上オープン(混)[指](ハンデ),
199907010811,1999年3月7日,11,第35回中日新聞杯,G3,芝左,1800,小雨,稍重,15:35,1回中京8日目,4歳以上オープン(父)[指](別定),
199907020711,1999年4月17日,11,第33回小倉大賞典,G3,芝左,1800,曇,良,15:35,2回中京7日目,4歳以上オープン(混)(ハンデ),
199907030211,1999年5月23日,11,第29回高松宮記念,G1,芝左,1200,晴,良,15:40,3回中京2日目,4歳以上オープン(混)(指)(定量),
199907030311,1999年5月29日,11,第35回金鯱賞,G2,芝左,2000,晴,良,15:45,3回中京3日目,4歳以上オープン(混)[指](別定),
199907030711,1999年6月12日,11,第13回中日スポーツ賞4歳S,G3,芝左,1200,晴,良,15:45,3回中京7日目,4歳オープン(混)(特指)(別定),
199908010111,1999年1月5日,11,第37回スポニチ賞京都金杯,G3,芝右,2000,晴,良,15:35,1回京都1日目,4歳以上オープン(混)[指](ハンデ),
199908010411,1999年1月10日,11,第6回平安ステークス,G3,ダ右,1800,曇,良,15:40,1回京都4日目,4歳以上オープン(混)(指)(別定),
199908010611,1999年1月17日,11,第33回日刊スポシンザン記念,G3,芝右 外,1600,晴,良,15:40,1回京都6日目,4歳オープン(混)(特指)(別定),
199908010811,1999年1月24日,11,第46回日経新春杯,G2,芝右 外,2400,曇,良,15:40,1回京都8日目,4歳以上オープン(混)[指](ハンデ),
199908020111,1999年1月30日,11,第34回京都牝馬特別,G3,芝右 外,1600,晴,良,15:45,2回京都1日目,4歳以上オープン(混),
199908020411,1999年2月7日,11,第39回きさらぎ賞,G3,芝右 外,1800,晴,良,15:45,2回京都4日目,4歳オープン(混)(特指)(別定),
199908020611,1999年2月14日,11,第92回京都記念,G2,芝右 外,2200,晴,良,15:45,2回京都6日目,4歳以上オープン(混)[指](別定),
199908030211,1999年4月25日,11,第4回シルクロードS,G3,芝右,1200,晴,良,15:45,3回京都2日目,4歳以上オープン(混)(指)(別定),
199908030411,1999年5月2日,11,第119回天皇賞,春)(G1,芝右 外,3200,晴,良,15:40,3回京都4日目,4歳以上オープン牡・牝(指)(定量),
199908030511,1999年5月8日,11,第4回アンタレスステークス,G3,ダ右,1800,晴,良,15:45,3回京都5日目,4歳以上オープン(混)(指)(ハンデ),
199908030611,1999年5月9日,11,第45回毎日放送京都4歳特別,G3,芝右,2000,晴,良,15:45,3回京都6日目,4歳オープン(混)(特指)(別定),
199908030809,1999年5月16日,9,第1回京都ジャンプS,J.G3,障芝 内-外,3170,曇,良,14:15,3回京都8日目,障害4歳以上オープン(混)(ハンデ),
199908040211,1999年10月10日,11,第34回京都大賞典,G2,芝右 外,2400,晴,良,15:45,4回京都2日目,4歳以上オープン(混)(指)(別定),
199908040411,1999年10月17日,11,第47回京都新聞杯,G2,芝右 外,2200,曇,良,15:45,4回京都4日目,4歳オープン牡・牝(指)(定量),
199908040511,1999年10月23日,11,第34回デイリー杯3歳S,G2,芝右 外,1600,晴,良,15:45,4回京都5日目,3歳オープン(混)(指)(馬齢),
199908040611,1999年10月24日,11,第4回秋華賞,G1,芝右,2000,晴,良,15:40,4回京都6日目,4歳オープン(混),
199908040711,1999年10月30日,11,第42回スワンステークス,G2,芝右 外,1400,晴,良,15:45,4回京都7日目,4歳以上オープン(国際)(指)(別定),
199908050111,1999年11月6日,11,第4回KBSファンタジーS,G3,芝右 外,1400,晴,良,15:40,5回京都1日目,3歳オープン(混),
199908050211,1999年11月7日,11,第60回菊花賞,G1,芝右 外,3000,晴,良,15:35,5回京都2日目,4歳オープン牡・牝(指)(定量),
199908050411,1999年11月14日,11,第24回エリザベス女王杯,G1,芝右 外,2200,晴,良,15:40,5回京都4日目,4歳以上オープン(国際),
199908050510,1999年11月20日,10,第1回京都ハイジャンプ,J.G2,障芝,3930,晴,良,15:00,5回京都5日目,障害4歳以上オープン(混)(別定),
199908050611,1999年11月21日,11,第16回マイルチャンピオンS,G1,芝右 外,1600,晴,良,15:40,5回京都6日目,4歳以上オープン(国際)(指)(定量),
199908050711,1999年11月27日,11,第44回京阪杯,G3,芝右 外,1800,晴,良,15:35,5回京都7日目,4歳以上オープン(混)(特指)(ハンデ),
199909010211,1999年2月28日,11,第8回アーリントンカップ,G3,芝右,1600,晴,良,15:45,1回阪神2日目,4歳オープン(混)(特指)(別定),
199909010311,1999年3月6日,11,第6回チューリップ賞,G3,芝右,1600,晴,良,15:45,1回阪神3日目,4歳オープン牝(指)(定量),
199909010411,1999年3月7日,11,第30回読売マイラーズカップ,G2,芝右,1600,雨,稍重,15:45,1回阪神4日目,4歳以上オープン(混)[指](別定),
199909010610,1999年3月14日,10,第1回阪神Sジャンプ,J.G2,障芝,3800,晴,良,15:05,1回阪神6日目,障害4歳以上オープン(混)(別定),
199909010611,1999年3月14日,11,第33回報知杯4歳牝馬特別,G2,芝右,1400,晴,良,15:45,1回阪神6日目,4歳オープン牝(指)(定量),
199909010811,1999年3月21日,11,第47回阪神大賞典,G2,芝右,3000,雨,重,15:45,1回阪神8日目,4歳以上オープン(混)(指)(別定),
199909020211,1999年3月28日,11,第46回毎日杯,G3,芝右,2000,曇,良,15:45,2回阪神2日目,4歳オープン(混)(特指)(別定),
199909020411,1999年4月4日,11,第43回産経大阪杯,G2,芝右,2000,晴,良,15:45,2回阪神4日目,4歳以上オープン(混)(指)(別定),
199909020511,1999年4月10日,11,第43回阪急杯,G3,芝右,1200,雨,良,15:45,2回阪神5日目,4歳以上オープン(混)[指](ハンデ),
199909020611,1999年4月11日,11,第59回桜花賞,G1,芝右,1600,晴,良,15:40,2回阪神6日目,4歳オープン牝(指)(定量),
199909020711,1999年4月17日,11,第4回プロキオンステークス,G3,ダ右,1400,曇,良,15:45,2回阪神7日目,4歳以上オープン(混)(指)(別定),
199909030211,1999年6月20日,11,第52回鳴尾記念,G2,芝右,2000,晴,良,15:45,3回阪神2日目,4歳以上オープン(国際)[指](別定),
199909030411,1999年6月27日,11,第4回マーメイドステークス,G3,芝右,2000,曇,重,15:45,3回阪神4日目,4歳以上オープン(混),
199909030811,1999年7月11日,11,第40回宝塚記念,G1,芝右,2200,晴,良,15:40,3回阪神8日目,4歳以上オープン(国際)(指)(定量),
199909040211,1999年9月12日,11,第50回朝日チャレンジカップ,G3,芝右,2000,晴,良,15:45,4回阪神2日目,4歳以上オープン(混)(特指)(別定),
199909040411,1999年9月19日,11,第47回神戸新聞杯,G2,芝右,2000,晴,良,15:45,4回阪神4日目,4歳オープン(指)(定量),
199909040510,1999年9月25日,10,第1回阪神ジャンプS,J.G3,障芝,3170,晴,良,15:10,4回阪神5日目,障害4歳以上オープン(混)(別定),
199909040611,1999年9月26日,11,第17回関西TVローズS,G2,芝右,2000,曇,良,15:45,4回阪神6日目,4歳オープン(混),
199909040811,1999年10月3日,11,第13回セントウルステークス,G3,芝右,1400,曇,良,15:45,4回阪神8日目,4歳以上オープン(混)(指)(別定),
199909050211,1999年12月5日,11,第51回阪神3歳牝馬S,G1,芝右,1600,曇,良,15:40,5回阪神2日目,3歳オープン(混),
199909050311,1999年12月11日,11,第3回シリウスステークス,G3,ダ右,1400,曇,良,15:35,5回阪神3日目,4歳以上オープン(混)(指)(ハンデ),
199909050711,1999年12月25日,11,第16回ラジオたんぱ杯3歳S,G3,芝右,2000,晴,良,15:35,5回阪神7日目,3歳オープン(混),
199910010210,1999年7月18日,10,第1回小倉サマージャンプ,J.G3,障芝,3390,曇,良,15:10,1回小倉2日目,障害4歳以上オープン(混)(ハンデ),
199910010411,1999年7月25日,11,第34回TV西日本北九州記念,G3,芝右,1800,晴,良,15:45,1回小倉4日目,4歳以上オープン(混)(特指)(ハンデ),
199910020211,1999年8月15日,11,第35回小倉記念,G3,芝右,2000,曇,稍重,15:45,2回小倉2日目,4歳以上オープン(混)(特指)(別定),
199910020811,1999年9月5日,11,第19回小倉3歳ステークス,G3,芝右,1200,雨,良,15:45,2回小倉8日目,3歳オープン(混)(特指)(馬齢),
199910030111,1999年11月27日,11,第35回CBC賞,G2,芝右,1200,曇,良,15:45,3回小倉1日目,4歳以上オープン(混)(指)(別定),
199910030411,1999年12月5日,11,第16回東海TVウインターS,G2,ダ右,2400,曇,良,15:30,3回小倉4日目,4歳以上オープン(混)(指)(別定),
199910030611,1999年12月12日,11,第37回愛知杯,G3,芝右,2000,晴,良,15:45,3回小倉6日目,4歳以上オープン(父)(特指)(ハンデ),
200001010411,2000年8月13日,11,第48回クイーンステークス,G3,芝右,1800,晴,良,15:25,1回札幌4日目,4歳以上オープン(混),
200001010611,2000年8月20日,11,第36回札幌記念,G2,芝右,2000,晴,良,15:40,1回札幌6日目,4歳以上オープン(混)(特指)(別定),
200001020111,2000年9月2日,11,第5回エルムステークス,G3,ダ右,1700,雨,不良,15:35,2回札幌1日目,4歳以上オープン(混)(指)(別定),
200001020711,2000年9月23日,11,第35回札幌3歳ステークス,G3,芝右,1800,曇,良,15:35,2回札幌7日目,3歳オープン(混)(特指)(馬齢),
200002010811,2000年7月2日,11,第7回函館スプリントS,G3,芝右,1200,晴,良,15:35,1回函館8日目,4歳以上オープン(混)(特指)(別定),
200002020611,2000年7月23日,11,第36回函館記念,G3,芝右,2000,曇,稍重,15:25,2回函館6日目,4歳以上オープン(混)(特指)(ハンデ),
200002020811,2000年7月30日,11,第32回函館3歳ステークス,G3,芝右,1200,晴,良,15:25,2回函館8日目,3歳オープン(混)(特指)(馬齢),
200003010811,2000年5月14日,11,第22回新潟大賞典,G3,芝右,2000,晴,稍重,15:35,1回福島8日目,4歳以上オープン(混)[指](ハンデ),
200003020811,2000年8月6日,11,第35回関屋記念,G3,芝右,1700,晴,良,15:35,2回福島8日目,4歳以上オープン(混)(特指)(別定),
200003030711,2000年10月21日,11,第54回カブトヤマ記念,G3,芝右,1800,晴,良,15:25,3回福島7日目,4歳以上オープン(父)(特指)(ハンデ),
200003040711,2000年11月18日,11,第36回福島記念,G3,芝右,2000,小雨,稍重,15:10,4回福島7日目,4歳以上オープン(混)(特指)(ハンデ),
200005010211,2000年1月30日,11,第50回東京新聞杯,G3,芝左,1600,晴,良,15:40,1回東京2日目,4歳以上オープン(混)[指](別定),
200005010411,2000年2月6日,11,第34回共同通信杯4歳S,G3,芝左,1800,曇,良,15:40,1回東京4日目,4歳オープン(混)(特指)(別定),
200005010611,2000年2月13日,11,第50回ダイヤモンドS,G3,芝左,3200,曇,良,15:40,1回東京6日目,4歳以上オープン(混)[指](ハンデ),
200005010711,2000年2月19日,11,第35回デイリー杯クイーンC,G3,芝左,1600,曇,良,15:40,1回東京7日目,4歳オープン(混),
200005010811,2000年2月20日,11,第17回フェブラリーS,G1,ダ左,1600,曇,良,15:35,1回東京8日目,4歳以上オープン(混)(指)(定量),
200005020211,2000年4月23日,11,第35回サンスポ4歳牝馬特別,G2,芝左,2000,晴,良,15:40,2回東京2日目,4歳オープン牝(指)(定量),
200005020311,2000年4月29日,11,第7回テレビ東京杯青葉賞,G3,芝左,2400,晴,良,15:40,2回東京3日目,4歳オープン(指)(定量),
200005020611,2000年5月7日,11,第5回NHKマイルカップ,G1,芝左,1600,晴,良,15:35,2回東京6日目,4歳オープン(混),
200005020811,2000年5月14日,11,第45回京王杯スプリングC,G2,芝左,1400,曇,良,15:40,2回東京8日目,4歳以上オープン(国際)(指)(別定),
200005030111,2000年5月20日,11,第114回目黒記念,G2,芝左,2500,雨,重,15:40,3回東京1日目,4歳以上オープン(混)[指](ハンデ),
200005030211,2000年5月21日,11,第61回優駿牝馬,G1,芝左,2400,曇,稍重,15:35,3回東京2日目,4歳オープン牝(指)(定量),
200005030611,2000年6月4日,11,第50回安田記念,G1,芝左,1600,晴,良,15:35,3回東京6日目,4歳以上オープン(国際)(指)(定量),
200005030710,2000年6月10日,10,第2回東京ハイジャンプ,J.G2,障芝,3300,曇,稍重,15:00,3回東京7日目,障害4歳以上オープン(混)(別定),
200005030811,2000年6月11日,11,第17回エプソムカップ,G3,芝左,1800,雨,不良,15:40,3回東京8日目,4歳以上オープン(混)[指](別定),
200005040611,2000年7月2日,11,第49回ラジオたんぱ賞,G3,芝左,1800,小雨,良,15:40,4回東京6日目,4歳オープン(混)(特指)(別定),
200005040811,2000年7月9日,11,第36回七夕賞,G3,芝左,2000,晴,良,15:40,4回東京8日目,4歳以上オープン(混)[指](ハンデ),
200005050211,2000年10月8日,11,第51回毎日王冠,G2,芝左,1800,曇,良,15:35,5回東京2日目,4歳以上オープン(国際)(指)(別定),
200005050309,2000年10月14日,9,第2回東京オータムジャンプ,J.G3,障芝,3300,晴,良,14:30,5回東京3日目,障害4歳以上オープン(混)(ハンデ),
200005050411,2000年10月15日,11,第48回府中牝馬ステークス,G3,芝左,1800,雨,良,15:30,5回東京4日目,4歳以上オープン(混),
200005050511,2000年10月21日,11,第3回富士ステークス,G3,芝左,1600,晴,良,15:40,5回東京5日目,4歳以上オープン(国際)(指)(別定),
200005050711,2000年10月28日,11,第5回武蔵野ステークス,G3,ダ左,1600,曇,良,15:40,5回東京7日目,4歳以上オープン(国際)(指)(別定),
200005050811,2000年10月29日,11,第122回天皇賞,秋)(G1,芝左,2000,曇,重,15:35,5回東京8日目,4歳以上オープン牡・牝(指)(定量),
200005060211,2000年11月5日,11,第38回アルゼンチン共和国杯,G2,芝左,2500,晴,良,15:30,6回東京2日目,4歳以上オープン(混)(特指)(ハンデ),
200005060311,2000年11月11日,11,第36回京王杯3歳ステークス,G2,芝左,1400,晴,良,15:30,6回東京3日目,3歳オープン(混)(指)(馬齢),
200005060411,2000年11月12日,11,第14回東京中日S杯根岸S,G3,ダ左,1200,曇,良,15:25,6回東京4日目,4歳以上オープン(混)(指)(別定),
200005060511,2000年11月18日,11,第5回東京スポーツ杯3歳S,G3,芝左,1800,晴,稍重,15:30,6回東京5日目,3歳オープン(混)(指)(馬齢),
200005060711,2000年11月25日,11,第1回ジャパンカップダート,G1,ダ左,2100,晴,良,15:20,6回東京7日目,4歳以上オープン(国際)(指)(定量),
200005060810,2000年11月26日,10,第20回ジャパンカップ,G1,芝左,2400,晴,良,15:20,6回東京8日目,4歳以上オープン(国際)(指)(定量),
200006010111,2000年1月5日,11,第49回日刊スポ賞中山金杯,G3,芝右,2000,晴,良,15:25,1回中山1日目,4歳以上オープン(混)[指](ハンデ),
200006010411,2000年1月9日,11,第4回ガーネットステークス,G3,ダ右,1200,曇,良,15:30,1回中山4日目,4歳以上オープン(混)(指)(別定),
200006010611,2000年1月16日,11,第40回京成杯,G3,芝右,2000,曇,良,15:30,1回中山6日目,4歳オープン(混)(特指)(別定),
200006010811,2000年1月23日,11,第41回アメリカジョッキーC,G2,芝右 外,2200,曇,良,15:30,1回中山8日目,4歳以上オープン(混)[指](別定),
200006020211,2000年2月27日,11,第74回中山記念,G2,芝右,1800,晴,良,15:40,2回中山2日目,4歳以上オープン(混)[指](別定),
200006020411,2000年3月5日,11,第37回報知杯弥生賞,G2,芝右,2000,曇,良,15:40,2回中山4日目,4歳オープン(指)(馬齢),
200006020511,2000年3月11日,11,第18回中山牝馬ステークス,G3,芝右,1800,曇,良,15:40,2回中山5日目,4歳以上オープン(混),
200006020611,2000年3月12日,11,第14回夕刊フジクリスタルC,G3,芝右 外,1200,晴,良,15:40,2回中山6日目,4歳オープン(混)(指)(別定),
200006020711,2000年3月18日,11,第14回フラワーカップ,G3,芝右,1800,晴,良,15:40,2回中山7日目,4歳オープン(混),
200006030111,2000年3月25日,11,第7回マーチステークス,G3,ダ右,1800,曇,稍重,15:40,3回中山1日目,4歳以上オープン(混)(指)(ハンデ),
200006030211,2000年3月26日,11,第48回日経賞,G2,芝右,2500,晴,良,15:25,3回中山2日目,5歳以上オープン(混)(指)(別定),
200006030411,2000年4月2日,11,第32回ダービー卿チャレンジ,G3,芝右 外,1600,曇,良,15:40,3回中山4日目,4歳以上オープン(混)[指](別定),
200006030511,2000年4月8日,11,第18回ニュージランド4歳S,G2,芝右 外,1600,晴,良,15:40,3回中山5日目,4歳オープン(混),
200006030711,2000年4月15日,11,第2回中山グランドジャンプ,J.G1,障芝,4100,雨,稍重,15:30,3回中山7日目,障害4歳以上オープン(国際)(定量),
200006030811,2000年4月16日,11,第60回皐月賞,G1,芝右,2000,曇,稍重,15:35,3回中山8日目,4歳オープン牡・牝(指)(定量),
200006040410,2000年8月20日,10,第2回新潟ジャンプS,J.G3,障芝 外,3350,晴,良,15:00,4回中山4日目,障害4歳以上オープン(混)(ハンデ),
200006040611,2000年8月27日,11,第36回新潟記念,G3,芝右,2000,晴,良,15:35,4回中山6日目,4歳以上オープン(混)(特指)(ハンデ),
200006040811,2000年9月3日,11,第20回新潟3歳ステークス,G3,芝右 外,1200,晴,良,15:35,4回中山8日目,3歳オープン(混)(特指)(馬齢),
200006050211,2000年9月10日,11,第45回京成杯オータムハンデ,G3,芝右 外,1600,晴,良,15:35,5回中山2日目,4歳以上オープン(混)(特指)(ハンデ),
200006050411,2000年9月17日,11,第54回セントライト記念,G2,芝右 外,2200,曇,重,15:35,5回中山4日目,4歳オープン(指)(定量),
200006050611,2000年9月24日,11,第46回産経賞オールカマー,G2,芝右 外,2200,晴,重,15:35,5回中山6日目,4歳以上オープン(国際)(指)(別定),
200006050711,2000年9月30日,11,第5回ユニコーンステークス,G3,ダ右,1800,曇,良,15:40,5回中山7日目,4歳オープン(混)(指)(定量),
200006050811,2000年10月1日,11,第34回スプリンターズS,G1,芝右 外,1200,曇,稍重,15:35,5回中山8日目,4歳以上オープン(国際)(指)(定量),
200006060111,2000年12月2日,11,第34回ステイヤーズS,G2,芝右 内2周,3600,晴,良,15:25,6回中山1日目,4歳以上オープン(混)(特指)(別定),
